baseline_average,baseline_character_consistency,baseline_detail_completeness,baseline_image_path,baseline_name,baseline_overall_quality,baseline_scene_object_fidelity,baseline_semantic_alignment,baseline_style_lighting_consistency,delta_baseline_minus_dn,dn_average,dn_character_consistency,dn_detail_completeness,dn_overall_quality,dn_reference_image,dn_scene_object_fidelity,dn_semantic_alignment,dn_style_lighting_consistency,game_id,id,input_text_path,segment_index,summary,theme_id,winner
1.6667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418186_406ktb/seg_001.png,sdm_v2,2,2,2,2,-3.1667,4.8333,5,4,5,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_001.png,5,5,5,game_1776418186_406ktb,game_1776418186_406ktb/seg_001,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_001.json,1,DN aligns with prompt requirements far better than baseline,theme_002_game_1776418186_406ktb,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418186_406ktb/seg_002.png,sdm_v2,2,2,2,3,-3.1667,5,5,5,5,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_002.png,5,5,5,game_1776418186_406ktb,game_1776418186_406ktb/seg_002,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_002.json,2,DN matches the prompt far better than baseline,theme_002_game_1776418186_406ktb,dn
1.6667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418186_406ktb/seg_003.png,sdm_v2,2,2,2,2,-2.0,3.6667,4,3,4,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_003.png,4,4,3,game_1776418186_406ktb,game_1776418186_406ktb/seg_003,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_003.json,3,DN aligns far better to the given prompt,theme_002_game_1776418186_406ktb,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418186_406ktb/seg_004.png,sdm_v2,2,2,2,3,-2.0,3.8333,4,3,4,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_004.png,4,4,4,game_1776418186_406ktb,game_1776418186_406ktb/seg_004,DN-experiment-2.0/theme_002_game_1776418186_406ktb/game_1776418186_406ktb_004.json,4,DN better matches the prompt requirements,theme_002_game_1776418186_406ktb,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_001.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_001.png,5,5,5,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_001,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_001.json,1,"DN matches prompt, baseline is fully mismatched",theme_003_game_1776418475_uho8y4,dn
1.6667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_002.png,sdm_v2,1,2,2,3,-3.3333,5,5,5,5,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_002.png,5,5,5,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_002,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_002.json,2,DN better matches all prompt requirements,theme_003_game_1776418475_uho8y4,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_003.png,sdm_v2,1,2,1,2,-3.6667,5,5,5,5,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_003.png,5,5,5,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_003,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_003.json,3,DN outperforms baseline on all prompt requirements,theme_003_game_1776418475_uho8y4,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_004.png,sdm_v2,1,1,1,2,-3.0,4.1667,4,4,4,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_004.png,5,4,4,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_004,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_004.json,4,DN outperforms baseline in prompt alignment,theme_003_game_1776418475_uho8y4,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_005.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_005.png,5,5,5,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_005,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_005.json,5,DN fits prompt perfectly; baseline is irrelevant,theme_003_game_1776418475_uho8y4,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_006.png,sdm_v2,1,1,1,2,-2.8333,4,4,3,4,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_006.png,4,4,5,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_006,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_006.json,6,DN better matches the given prompt requirements,theme_003_game_1776418475_uho8y4,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_007.png,sdm_v2,1,1,1,2,-2.8333,4,4,4,4,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_007.png,4,4,4,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_007,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_007.json,7,DN matches the prompt much better than baseline,theme_003_game_1776418475_uho8y4,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_008.png,sdm_v2,1,1,1,2,-3.6667,4.8333,5,4,5,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_008.png,5,5,5,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_008,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_008.json,8,DN matches the prompt far better than baseline,theme_003_game_1776418475_uho8y4,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_009.png,sdm_v2,1,1,1,2,-3.8333,5,5,5,5,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_009.png,5,5,5,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_009,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_009.json,9,DN aligns to prompt far better than baseline,theme_003_game_1776418475_uho8y4,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418475_uho8y4/seg_010.png,sdm_v2,1,1,1,2,-2.6667,3.8333,4,3,4,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_010.png,4,4,4,game_1776418475_uho8y4,game_1776418475_uho8y4/seg_010,DN-experiment-2.0/theme_003_game_1776418475_uho8y4/game_1776418475_uho8y4_010.json,10,DN aligns far better with the given prompt,theme_003_game_1776418475_uho8y4,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_001.png,sdm_v2,1,2,1,2,-2.8333,4.1667,4,4,4,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_001.png,4,4,5,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_001,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_001.json,1,DN fits prompt better; baseline lacks all key characters,theme_004_game_1776418746_kox2ae,dn
1.5,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_002.png,sdm_v2,1,2,1,3,-2.6667,4.1667,4,4,4,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_002.png,4,4,5,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_002,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_002.json,2,DN matches the prompt far better than baseline,theme_004_game_1776418746_kox2ae,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_003.png,sdm_v2,1,1,1,2,-2.8333,4,4,4,4,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_003.png,4,4,4,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_003,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_003.json,3,"DN fits prompt better, baseline misses key elements",theme_004_game_1776418746_kox2ae,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_004.png,sdm_v2,2,2,2,3,-2.8333,4.6667,5,4,5,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_004.png,5,5,4,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_004,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_004.json,4,"DN outperforms baseline, baseline lacks required character",theme_004_game_1776418746_kox2ae,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_005.png,sdm_v2,2,2,2,3,-3.1667,5,5,5,5,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_005.png,5,5,5,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_005,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_005.json,5,DN far better matches all prompt requirements,theme_004_game_1776418746_kox2ae,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_006.png,sdm_v2,2,2,2,3,-3.1667,5,5,5,5,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_006.png,5,5,5,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_006,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_006.json,6,DN outperforms baseline missing core prompt elements,theme_004_game_1776418746_kox2ae,dn
2.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_007.png,sdm_v2,2,3,2,4,-1.6667,3.8333,4,3,4,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_007.png,4,4,4,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_007,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_007.json,7,DN better matches prompt requirements than baseline,theme_004_game_1776418746_kox2ae,dn
1.5,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_008.png,sdm_v2,1,2,1,3,-2.3333,3.8333,4,3,4,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_008.png,4,4,4,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_008,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_008.json,8,"DN matches prompt better, baseline lacks core elements",theme_004_game_1776418746_kox2ae,dn
1.6667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_009.png,sdm_v2,2,2,2,2,-2.8333,4.5,4,4,5,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_009.png,5,5,4,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_009,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_009.json,9,DN aligns with prompt far better than baseline,theme_004_game_1776418746_kox2ae,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776418746_kox2ae/seg_010.png,sdm_v2,2,2,2,3,-3.0,4.8333,5,5,5,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_010.png,5,5,4,game_1776418746_kox2ae,game_1776418746_kox2ae/seg_010,DN-experiment-2.0/theme_004_game_1776418746_kox2ae/game_1776418746_kox2ae_010.json,10,DN better matches prompt content and requirements,theme_004_game_1776418746_kox2ae,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_001.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_001.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_001,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_001.json,1,"DN matches prompt well, baseline lacks all core elements",theme_005_game_1776419026_gflx4b,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_002.png,sdm_v2,1,1,1,2,-3.6667,4.8333,5,4,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_002.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_002,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_002.json,2,DN far outperforms baseline in prompt matching.,theme_005_game_1776419026_gflx4b,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_003.png,sdm_v2,1,2,1,2,-3.6667,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_003.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_003,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_003.json,3,"DN meets prompt, baseline lacks core characters and elements",theme_005_game_1776419026_gflx4b,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_004.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_004.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_004,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_004.json,4,DN matches prompt perfectly; baseline is fully mismatched,theme_005_game_1776419026_gflx4b,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_005.png,sdm_v2,1,1,2,2,-3.0,4.3333,4,4,4,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_005.png,5,4,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_005,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_005.json,5,DN better matches the prompt than the baseline,theme_005_game_1776419026_gflx4b,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_006.png,sdm_v2,1,1,2,2,-3.6667,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_006.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_006,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_006.json,6,"DN matches all prompt elements, baseline misses most details",theme_005_game_1776419026_gflx4b,dn
1.3333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_007.png,sdm_v2,1,1,2,2,-3.6667,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_007.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_007,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_007.json,7,"DN matches prompt perfectly, baseline fails core requirements",theme_005_game_1776419026_gflx4b,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_008.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_008.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_008,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_008.json,8,"DN matches prompt perfectly, baseline misses all core elements",theme_005_game_1776419026_gflx4b,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_009.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_009.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_009,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_009.json,9,"DN matches prompt perfectly, baseline is entirely incorrect",theme_005_game_1776419026_gflx4b,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419026_gflx4b/seg_010.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_010.png,5,5,5,game_1776419026_gflx4b,game_1776419026_gflx4b/seg_010,DN-experiment-2.0/theme_005_game_1776419026_gflx4b/game_1776419026_gflx4b_010.json,10,"DN matches prompt perfectly, baseline is fully incorrect",theme_005_game_1776419026_gflx4b,dn
1.6667,2,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419299_05783f/seg_001.png,sdm_v2,2,1,2,2,-3.3333,5,5,5,5,DN-experiment-2.0/theme_006_game_1776419299_05783f/game_1776419299_05783f_001.png,5,5,5,game_1776419299_05783f,game_1776419299_05783f/seg_001,DN-experiment-2.0/theme_006_game_1776419299_05783f/game_1776419299_05783f_001.json,1,DN aligns far better with the prompt than baseline,theme_006_game_1776419299_05783f,dn
1.8333,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_001.png,sdm_v2,2,2,2,3,-3.1667,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_001.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_001,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_001.json,1,DN matches the prompt far better than baseline,theme_012_game_1776419613_9xv3kl,dn
2,1,2,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_002.png,sdm_v2,2,2,2,3,-2.3333,4.3333,5,4,4,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_002.png,4,4,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_002,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_002.json,2,DN aligns far better with the prompt requirements,theme_012_game_1776419613_9xv3kl,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_003.png,sdm_v2,1,1,1,2,-3.8333,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_003.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_003,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_003.json,3,"DN matches prompt perfectly, baseline is entirely misaligned",theme_012_game_1776419613_9xv3kl,dn
1.1667,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_004.png,sdm_v2,1,1,1,2,-3.5,4.6667,5,4,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_004.png,4,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_004,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_004.json,4,"DN matches prompt well, baseline is fully misaligned",theme_012_game_1776419613_9xv3kl,dn
1,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_005.png,sdm_v2,1,1,1,1,-4,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_005.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_005,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_005.json,5,"DN fully matches prompt, baseline is severely misaligned",theme_012_game_1776419613_9xv3kl,dn
1.5,1,1,outputs/baseline_image_from_dn_text/run_20260430_144923/baselines/sdm_v2/game_1776419613_9xv3kl/seg_006.png,sdm_v2,2,2,1,2,-3.5,5,5,5,5,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_006.png,5,5,5,game_1776419613_9xv3kl,game_1776419613_9xv3kl/seg_006,DN-experiment-2.0/theme_012_game_1776419613_9xv3kl/game_1776419613_9xv3kl_006.json,6,DN matches prompt far better than baseline.,theme_012_game_1776419613_9xv3kl,dn
